month,kpi,market,technology_name,value,integration
2023-01-01,closed_sales,NULL,NULL,4393345,FALSE
2023-02-01,closed_sales,NULL,NULL,4687768,FALSE
2023-03-01,closed_sales,NULL,NULL,5128031,FALSE
2023-04-01,closed_sales,NULL,NULL,5411093,FALSE
2023-05-01,closed_sales,NULL,NULL,5722170,FALSE
2023-06-01,closed_sales,NULL,NULL,5911666,FALSE
2023-07-01,closed_sales,NULL,NULL,5825165,FALSE
2023-08-01,closed_sales,NULL,NULL,5789957,FALSE
2023-09-01,closed_sales,NULL,NULL,6362673,FALSE
2023-10-01,closed_sales,NULL,NULL,6646921,FALSE
2023-11-01,closed_sales,NULL,NULL,6778610,FALSE
2023-12-01,closed_sales,NULL,NULL,6404224,FALSE
2023-01-01,pre_calculated_margin,NULL,NULL,1426179,FALSE
2023-02-01,pre_calculated_margin,NULL,NULL,1495645,FALSE
2023-03-01,pre_calculated_margin,NULL,NULL,1676718,FALSE
2023-04-01,pre_calculated_margin,NULL,NULL,1749081,FALSE
2023-05-01,pre_calculated_margin,NULL,NULL,1871167,FALSE
2023-06-01,pre_calculated_margin,NULL,NULL,1963184,FALSE
2023-07-01,pre_calculated_margin,NULL,NULL,1929391,FALSE
2023-08-01,pre_calculated_margin,NULL,NULL,1916215,FALSE
2023-09-01,pre_calculated_margin,NULL,NULL,2148778,FALSE
2023-10-01,pre_calculated_margin,NULL,NULL,2285836,FALSE
2023-11-01,pre_calculated_margin,NULL,NULL,2333266,FALSE
2023-12-01,pre_calculated_margin,NULL,NULL,2198339,FALSE
2023-01-01,recognized_revenue,NULL,NULL,4161756,FALSE
2023-02-01,recognized_revenue,NULL,NULL,4213191,FALSE
2023-03-01,recognized_revenue,NULL,NULL,4458379,FALSE
2023-04-01,recognized_revenue,NULL,NULL,4710447,FALSE
2023-05-01,recognized_revenue,NULL,NULL,5008904,FALSE
2023-06-01,recognized_revenue,NULL,NULL,5297403,FALSE
2023-07-01,recognized_revenue,NULL,NULL,5415118,FALSE
2023-08-01,recognized_revenue,NULL,NULL,5385750,FALSE
2023-09-01,recognized_revenue,NULL,NULL,5465153,FALSE
2023-10-01,recognized_revenue,NULL,NULL,5890282,FALSE
2023-11-01,recognized_revenue,NULL,NULL,6164980,FALSE
2023-12-01,recognized_revenue,NULL,NULL,6273710,FALSE
2023-01-01,closed_sales,NULL,CNC,3304266,FALSE
2023-02-01,closed_sales,NULL,CNC,3556663,FALSE
2023-03-01,closed_sales,NULL,CNC,3914849,FALSE
2023-04-01,closed_sales,NULL,CNC,4127021,FALSE
2023-05-01,closed_sales,NULL,CNC,4357976,FALSE
2023-06-01,closed_sales,NULL,CNC,4504955,FALSE
2023-07-01,closed_sales,NULL,CNC,4437344,FALSE
2023-08-01,closed_sales,NULL,CNC,4391549,FALSE
2023-09-01,closed_sales,NULL,CNC,4786186,FALSE
2023-10-01,closed_sales,NULL,CNC,4990211,FALSE
2023-11-01,closed_sales,NULL,CNC,5088991,FALSE
2023-12-01,closed_sales,NULL,CNC,4827205,FALSE
2023-01-01,closed_sales,NULL,3DP,814502,FALSE
2023-02-01,closed_sales,NULL,3DP,869688,FALSE
2023-03-01,closed_sales,NULL,3DP,949528,FALSE
2023-04-01,closed_sales,NULL,3DP,992815,FALSE
2023-05-01,closed_sales,NULL,3DP,1039734,FALSE
2023-06-01,closed_sales,NULL,3DP,1065858,FALSE
2023-07-01,closed_sales,NULL,3DP,1041045,FALSE
2023-08-01,closed_sales,NULL,3DP,1021566,FALSE
2023-09-01,closed_sales,NULL,3DP,1103837,FALSE
2023-10-01,closed_sales,NULL,3DP,1140944,FALSE
2023-11-01,closed_sales,NULL,3DP,1153374,FALSE
2023-12-01,closed_sales,NULL,3DP,1084400,FALSE
2023-01-01,closed_sales,NULL,IM,139995,FALSE
2023-02-01,closed_sales,NULL,IM,119215,FALSE
2023-03-01,closed_sales,NULL,IM,110060,FALSE
2023-04-01,closed_sales,NULL,IM,132432,FALSE
2023-05-01,closed_sales,NULL,IM,160014,FALSE
2023-06-01,closed_sales,NULL,IM,174243,FALSE
2023-07-01,closed_sales,NULL,IM,186001,FALSE
2023-08-01,closed_sales,NULL,IM,221031,FALSE
2023-09-01,closed_sales,NULL,IM,306442,FALSE
2023-10-01,closed_sales,NULL,IM,346236,FALSE
2023-11-01,closed_sales,NULL,IM,367199,FALSE
2023-12-01,closed_sales,NULL,IM,335916,FALSE
2023-01-01,closed_sales,NULL,SM,134581,FALSE
2023-02-01,closed_sales,NULL,SM,142202,FALSE
2023-03-01,closed_sales,NULL,SM,153594,FALSE
2023-04-01,closed_sales,NULL,SM,158826,FALSE
2023-05-01,closed_sales,NULL,SM,164446,FALSE
2023-06-01,closed_sales,NULL,SM,166610,FALSE
2023-07-01,closed_sales,NULL,SM,160775,FALSE
2023-08-01,closed_sales,NULL,SM,155811,FALSE
2023-09-01,closed_sales,NULL,SM,166208,FALSE
2023-10-01,closed_sales,NULL,SM,169531,FALSE
2023-11-01,closed_sales,NULL,SM,169046,FALSE
2023-12-01,closed_sales,NULL,SM,156703,FALSE
2023-01-01,number_of_orders,NULL,NULL,2912,FALSE
2023-02-01,number_of_orders,NULL,NULL,3091,FALSE
2023-03-01,number_of_orders,NULL,NULL,3355,FALSE
2023-04-01,number_of_orders,NULL,NULL,3491,FALSE
2023-05-01,number_of_orders,NULL,NULL,3639,FALSE
2023-06-01,number_of_orders,NULL,NULL,3714,FALSE
2023-07-01,number_of_orders,NULL,NULL,3611,FALSE
2023-08-01,number_of_orders,NULL,NULL,3530,FALSE
2023-09-01,number_of_orders,NULL,NULL,3803,FALSE
2023-10-01,number_of_orders,NULL,NULL,3916,FALSE
2023-11-01,number_of_orders,NULL,NULL,3943,FALSE
2023-12-01,number_of_orders,NULL,NULL,3692,FALSE
2023-01-01,number_of_orders,NULL,CNC,1464,FALSE
2023-02-01,number_of_orders,NULL,CNC,1561,FALSE
2023-03-01,number_of_orders,NULL,CNC,1703,FALSE
2023-04-01,number_of_orders,NULL,CNC,1780,FALSE
2023-05-01,number_of_orders,NULL,CNC,1863,FALSE
2023-06-01,number_of_orders,NULL,CNC,1909,FALSE
2023-07-01,number_of_orders,NULL,CNC,1864,FALSE
2023-08-01,number_of_orders,NULL,CNC,1829,FALSE
2023-09-01,number_of_orders,NULL,CNC,1976,FALSE
2023-10-01,number_of_orders,NULL,CNC,2043,FALSE
2023-11-01,number_of_orders,NULL,CNC,2066,FALSE
2023-12-01,number_of_orders,NULL,CNC,1944,FALSE
2023-01-01,number_of_orders,NULL,3DP,1319,FALSE
2023-02-01,number_of_orders,NULL,3DP,1396,FALSE
2023-03-01,number_of_orders,NULL,3DP,1511,FALSE
2023-04-01,number_of_orders,NULL,3DP,1566,FALSE
2023-05-01,number_of_orders,NULL,3DP,1625,FALSE
2023-06-01,number_of_orders,NULL,3DP,1651,FALSE
2023-07-01,number_of_orders,NULL,3DP,1599,FALSE
2023-08-01,number_of_orders,NULL,3DP,1556,FALSE
2023-09-01,number_of_orders,NULL,3DP,1667,FALSE
2023-10-01,number_of_orders,NULL,3DP,1708,FALSE
2023-11-01,number_of_orders,NULL,3DP,1712,FALSE
2023-12-01,number_of_orders,NULL,3DP,1597,FALSE
2023-01-01,number_of_orders,NULL,IM,19,FALSE
2023-02-01,number_of_orders,NULL,IM,18,FALSE
2023-03-01,number_of_orders,NULL,IM,18,FALSE
2023-04-01,number_of_orders,NULL,IM,20,FALSE
2023-05-01,number_of_orders,NULL,IM,22,FALSE
2023-06-01,number_of_orders,NULL,IM,24,FALSE
2023-07-01,number_of_orders,NULL,IM,24,FALSE
2023-08-01,number_of_orders,NULL,IM,27,FALSE
2023-09-01,number_of_orders,NULL,IM,34,FALSE
2023-10-01,number_of_orders,NULL,IM,38,FALSE
2023-11-01,number_of_orders,NULL,IM,39,FALSE
2023-12-01,number_of_orders,NULL,IM,36,FALSE
2023-01-01,number_of_orders,NULL,SM,110,FALSE
2023-02-01,number_of_orders,NULL,SM,115,FALSE
2023-03-01,number_of_orders,NULL,SM,123,FALSE
2023-04-01,number_of_orders,NULL,SM,126,FALSE
2023-05-01,number_of_orders,NULL,SM,129,FALSE
2023-06-01,number_of_orders,NULL,SM,130,FALSE
2023-07-01,number_of_orders,NULL,SM,124,FALSE
2023-08-01,number_of_orders,NULL,SM,119,FALSE
2023-09-01,number_of_orders,NULL,SM,126,FALSE
2023-10-01,number_of_orders,NULL,SM,127,FALSE
2023-11-01,number_of_orders,NULL,SM,125,FALSE
2023-12-01,number_of_orders,NULL,SM,115,FALSE
2023-01-01,average_order_value,NULL,NULL,1604,FALSE
2023-02-01,average_order_value,NULL,NULL,1626,FALSE
2023-03-01,average_order_value,NULL,NULL,1648,FALSE
2023-04-01,average_order_value,NULL,NULL,1692,FALSE
2023-05-01,average_order_value,NULL,NULL,1715,FALSE
2023-06-01,average_order_value,NULL,NULL,1738,FALSE
2023-07-01,average_order_value,NULL,NULL,1784,FALSE
2023-08-01,average_order_value,NULL,NULL,1807,FALSE
2023-09-01,average_order_value,NULL,NULL,1830,FALSE
2023-10-01,average_order_value,NULL,NULL,1878,FALSE
2023-11-01,average_order_value,NULL,NULL,1902,FALSE
2023-12-01,average_order_value,NULL,NULL,1927,FALSE
2023-01-01,average_order_value,NULL,CNC,2257,FALSE
2023-02-01,average_order_value,NULL,CNC,2278,FALSE
2023-03-01,average_order_value,NULL,CNC,2298,FALSE
2023-04-01,average_order_value,NULL,CNC,2340,FALSE
2023-05-01,average_order_value,NULL,CNC,2360,FALSE
2023-06-01,average_order_value,NULL,CNC,2381,FALSE
2023-07-01,average_order_value,NULL,CNC,2401,FALSE
2023-08-01,average_order_value,NULL,CNC,2422,FALSE
2023-09-01,average_order_value,NULL,CNC,2442,FALSE
2023-10-01,average_order_value,NULL,CNC,2484,FALSE
2023-11-01,average_order_value,NULL,CNC,2504,FALSE
2023-12-01,average_order_value,NULL,CNC,2525,FALSE
2023-01-01,average_order_value,NULL,3DP,617,FALSE
2023-02-01,average_order_value,NULL,3DP,623,FALSE
2023-03-01,average_order_value,NULL,3DP,629,FALSE
2023-04-01,average_order_value,NULL,3DP,640,FALSE
2023-05-01,average_order_value,NULL,3DP,645,FALSE
